,celltypes_fine,celltypes_coarse
7-0,Schwann cells,Schwann cells
31-0,myCAF_POSTN,Fibroblasts
51-0,Classical_KRT7,Classical PDAC
53-0,Classical_KRT7,Classical PDAC
54-0,myCAF_POSTN,Fibroblasts
55-0,Classical_CEACAM,Classical PDAC
56-0,Acinar cells,Acinar cells
62-0,T cells,Lymphocytes
78-0,Schwann cells,Schwann cells
82-0,Beta cells,Endocrine cells
87-0,Basal,Basal-like PDAC
90-0,Classical_TFF1,Classical PDAC
98-0,Classical_KRT7,Classical PDAC
107-0,Endothelial cells,Endothelial cells
109-0,Schwann cells,Schwann cells
132-0,B cells,Lymphocytes
135-0,Beta cells,Endocrine cells
153-0,Classical_KRT7,Classical PDAC
155-0,Ductal cells,Ductal cells
163-0,Macrophages_M2,Macrophages
173-0,Ductal cells,Ductal cells
175-0,Beta cells,Endocrine cells
187-0,Classical_TFF1,Classical PDAC
213-0,Classical_CEACAM,Classical PDAC
230-0,Acinar cells,Acinar cells
239-0,Beta cells,Endocrine cells
253-0,Basal,Basal-like PDAC
261-0,myCAF_POSTN,Fibroblasts
284-0,Acinar cells,Acinar cells
318-0,Alpha cells,Endocrine cells
324-0,Endothelial cells,Endothelial cells
327-0,Ductal cells,Ductal cells
329-0,Beta cells,Endocrine cells
332-0,NK cells,Lymphocytes
345-0,Alpha cells,Endocrine cells
364-0,Schwann cells,Schwann cells
367-0,myCAF_POSTN,Fibroblasts
371-0,Classical_TFF1,Classical PDAC
376-0,Alpha cells,Endocrine cells
387-0,myCAF_POSTN,Fibroblasts
393-0,Beta cells,Endocrine cells
407-0,Delta cells,Endocrine cells
462-0,Delta cells,Endocrine cells
477-0,Classical_TFF1,Classical PDAC
479-0,Classical_KRT7,Classical PDAC
482-0,Acinar cells,Acinar cells
499-0,Endothelial cells,Endothelial cells
502-0,Ductal cells,Ductal cells
506-0,Ductal cells,Ductal cells
515-0,T cells,Lymphocytes
527-0,Classical_CEACAM,Classical PDAC
534-0,T cells,Lymphocytes
549-0,Acinar cells,Acinar cells
555-0,Classical_CEACAM,Classical PDAC
573-0,Schwann cells,Schwann cells
576-0,Classical_CEACAM,Classical PDAC
578-0,NK cells,Lymphocytes
582-0,Acinar cells,Acinar cells
583-0,Schwann cells,Schwann cells
588-0,B cells,Lymphocytes
601-0,Classical_CEACAM,Classical PDAC
625-0,Endothelial cells,Endothelial cells
632-0,Ductal cells,Ductal cells
633-0,Schwann cells,Schwann cells
634-0,Ductal cells,Ductal cells
636-0,Beta cells,Endocrine cells
647-0,myCAF_ACTA2,Fibroblasts
658-0,Ductal cells,Ductal cells
660-0,T cells,Lymphocytes
678-0,Classical_TFF1,Classical PDAC
680-0,Endothelial cells,Endothelial cells
690-0,Ductal cells,Ductal cells
693-0,Macrophages_M2,Macrophages
705-0,myCAF_ACTA2,Fibroblasts
706-0,T cells,Lymphocytes
712-0,Beta cells,Endocrine cells
719-0,Ductal cells,Ductal cells
733-0,Alpha cells,Endocrine cells
738-0,Endothelial cells,Endothelial cells
741-0,Beta cells,Endocrine cells
743-0,myCAF_POSTN,Fibroblasts
761-0,Classical_KRT7,Classical PDAC
762-0,Endothelial cells,Endothelial cells
775-0,Ductal cells,Ductal cells
779-0,Beta cells,Endocrine cells
780-0,Ductal cells,Ductal cells
787-0,Acinar cells,Acinar cells
789-0,Ductal cells,Ductal cells
819-0,Acinar cells,Acinar cells
833-0,Endothelial cells,Endothelial cells
839-0,Classical_TFF1,Classical PDAC
854-0,Ductal cells,Ductal cells
862-0,Dendritic cells,Dendritic cells
871-0,Beta cells,Endocrine cells
875-0,NK cells,Lymphocytes
884-0,Acinar cells,Acinar cells
889-0,Ductal cells,Ductal cells
897-0,Acinar cells,Acinar cells
903-0,Acinar cells,Acinar cells
924-0,Classical_CEACAM,Classical PDAC
934-0,Acinar cells,Acinar cells
961-0,iCAF,Fibroblasts
977-0,Ductal cells,Ductal cells
1006-0,B cells,Lymphocytes
1033-0,Acinar cells,Acinar cells
1045-0,Ductal cells,Ductal cells
1062-0,Ductal cells,Ductal cells
1069-0,T cells,Lymphocytes
1073-0,Classical_REG4,Classical PDAC
1081-0,Ductal cells,Ductal cells
1084-0,Schwann cells,Schwann cells
1090-0,Ductal cells,Ductal cells
1095-0,Ductal cells,Ductal cells
1104-0,Endothelial cells,Endothelial cells
1114-0,Ductal cells,Ductal cells
1151-0,Schwann cells,Schwann cells
1153-0,Alpha cells,Endocrine cells
1165-0,Ductal cells,Ductal cells
1169-0,Acinar cells,Acinar cells
1170-0,Classical_CEACAM,Classical PDAC
1186-0,Classical_CEACAM,Classical PDAC
1199-0,T cells,Lymphocytes
1200-0,B cells,Lymphocytes
1202-0,Delta cells,Endocrine cells
1209-0,Classical_TFF1,Classical PDAC
1214-0,myCAF_POSTN,Fibroblasts
1215-0,Alpha cells,Endocrine cells
1216-0,Acinar cells,Acinar cells
1217-0,Macrophages_M2,Macrophages
1224-0,Schwann cells,Schwann cells
1258-0,NK cells,Lymphocytes
1259-0,Ductal cells,Ductal cells
1262-0,Classical_TFF1,Classical PDAC
1266-0,Acinar cells,Acinar cells
1268-0,B cells,Lymphocytes
1276-0,Classical_TFF1,Classical PDAC
1277-0,Classical_CEACAM,Classical PDAC
1294-0,Acinar cells,Acinar cells
1295-0,Ductal cells,Ductal cells
1307-0,B cells,Lymphocytes
1322-0,Classical_TFF1,Classical PDAC
1323-0,B cells,Lymphocytes
1336-0,Classical_KRT7,Classical PDAC
1340-0,Ductal cells,Ductal cells
1358-0,Macrophages_M2,Macrophages
1359-0,Classical_TFF1,Classical PDAC
1360-0,Acinar cells,Acinar cells
1380-0,Endothelial cells,Endothelial cells
1383-0,Ductal cells,Ductal cells
1386-0,myCAF_POSTN,Fibroblasts
1400-0,Endothelial cells,Endothelial cells
1421-0,Classical_KRT7,Classical PDAC
1423-0,Classical_TFF1,Classical PDAC
1424-0,B cells,Lymphocytes
1432-0,Basal,Basal-like PDAC
1435-0,Basal,Basal-like PDAC
1443-0,Classical_CEACAM,Classical PDAC
1449-0,Ductal cells,Ductal cells
1459-0,T cells,Lymphocytes
1461-0,Acinar cells,Acinar cells
1473-0,Ductal cells,Ductal cells
1498-0,Delta cells,Endocrine cells
1505-0,Ductal cells,Ductal cells
1510-0,T cells,Lymphocytes
1521-0,Schwann cells,Schwann cells
1541-0,Ductal cells,Ductal cells
1542-0,Basal,Basal-like PDAC
1546-0,T cells,Lymphocytes
1551-0,Ductal cells,Ductal cells
1559-0,Ductal cells,Ductal cells
1561-0,myCAF_ACTA2,Fibroblasts
1562-0,Classical_CEACAM,Classical PDAC
1589-0,Endothelial cells,Endothelial cells
1614-0,myCAF_POSTN,Fibroblasts
1628-0,B cells,Lymphocytes
1650-0,myCAF_ACTA2,Fibroblasts
1653-0,Macrophages_M1,Macrophages
1658-0,T cells,Lymphocytes
1688-0,Acinar cells,Acinar cells
1689-0,myCAF_ACTA2,Fibroblasts
1697-0,Classical_CEACAM,Classical PDAC
1698-0,Basal,Basal-like PDAC
1703-0,Basal,Basal-like PDAC
1707-0,Beta cells,Endocrine cells
1708-0,Classical_CEACAM,Classical PDAC
1742-0,Classical_TFF1,Classical PDAC
1744-0,Ductal cells,Ductal cells
1746-0,Ductal cells,Ductal cells
1763-0,Alpha cells,Endocrine cells
1775-0,Acinar cells,Acinar cells
1780-0,T cells,Lymphocytes
1808-0,iCAF,Fibroblasts
1810-0,Classical_TFF1,Classical PDAC
1812-0,Classical_KRT7,Classical PDAC
1814-0,Basal,Basal-like PDAC
1822-0,Classical_KRT7,Classical PDAC
1823-0,Classical_TFF1,Classical PDAC
1827-0,Schwann cells,Schwann cells
1835-0,T cells,Lymphocytes
1846-0,Acinar cells,Acinar cells
1847-0,B cells,Lymphocytes
1865-0,Ductal cells,Ductal cells
1876-0,Schwann cells,Schwann cells
1879-0,B cells,Lymphocytes
1887-0,Alpha cells,Endocrine cells
1891-0,Schwann cells,Schwann cells
1898-0,Endothelial cells,Endothelial cells
1911-0,Ductal cells,Ductal cells
1913-0,B cells,Lymphocytes
1914-0,Classical_KRT7,Classical PDAC
1934-0,Endothelial cells,Endothelial cells
1943-0,Schwann cells,Schwann cells
1951-0,Ductal cells,Ductal cells
1982-0,Classical_CEACAM,Classical PDAC
1988-0,Acinar cells,Acinar cells
2001-0,Ductal cells,Ductal cells
2006-0,Alpha cells,Endocrine cells
2009-0,Classical_TFF1,Classical PDAC
2016-0,Alpha cells,Endocrine cells
2019-0,Endothelial cells,Endothelial cells
2026-0,myCAF_POSTN,Fibroblasts
2033-0,Macrophages_M1,Macrophages
2037-0,Alpha cells,Endocrine cells
2041-0,Dendritic cells,Dendritic cells
2055-0,Beta cells,Endocrine cells
2062-0,Classical_TFF1,Classical PDAC
2063-0,Beta cells,Endocrine cells
2069-0,NK cells,Lymphocytes
2075-0,Ductal cells,Ductal cells
2107-0,Classical_CEACAM,Classical PDAC
2114-0,Classical_TFF1,Classical PDAC
2121-0,B cells,Lymphocytes
2123-0,Ductal cells,Ductal cells
2141-0,Ductal cells,Ductal cells
2144-0,Classical_CEACAM,Classical PDAC
2177-0,Classical_CEACAM,Classical PDAC
2188-0,Beta cells,Endocrine cells
2199-0,Classical_TFF1,Classical PDAC
2202-0,Classical_TFF1,Classical PDAC
2204-0,Alpha cells,Endocrine cells
2215-0,Schwann cells,Schwann cells
2218-0,Classical_KRT7,Classical PDAC
2226-0,Ductal cells,Ductal cells
2230-0,T cells,Lymphocytes
2244-0,myCAF_POSTN,Fibroblasts
2255-0,Beta cells,Endocrine cells
2258-0,T cells,Lymphocytes
2259-0,B cells,Lymphocytes
2285-0,Endothelial cells,Endothelial cells
2286-0,Ductal cells,Ductal cells
2289-0,Beta cells,Endocrine cells
2310-0,Ductal cells,Ductal cells
2328-0,Ductal cells,Ductal cells
2343-0,Endothelial cells,Endothelial cells
2344-0,Macrophages_M2,Macrophages
2379-0,iCAF,Fibroblasts
2389-0,Schwann cells,Schwann cells
2391-0,Ductal cells,Ductal cells
2394-0,Basal,Basal-like PDAC
2405-0,Ductal cells,Ductal cells
2411-0,T cells,Lymphocytes
2412-0,Ductal cells,Ductal cells
2436-0,Ductal cells,Ductal cells
2469-0,Acinar cells,Acinar cells
2482-0,Classical_CEACAM,Classical PDAC
2486-0,Classical_KRT7,Classical PDAC
2488-0,Acinar cells,Acinar cells
2497-0,Ductal cells,Ductal cells
2500-0,Ductal cells,Ductal cells
2517-0,Classical_TFF1,Classical PDAC
2519-0,Beta cells,Endocrine cells
2533-0,Alpha cells,Endocrine cells
2568-0,Classical_TFF1,Classical PDAC
2575-0,Ductal cells,Ductal cells
2578-0,Endothelial cells,Endothelial cells
2596-0,Classical_TFF1,Classical PDAC
2604-0,Delta cells,Endocrine cells
2605-0,Beta cells,Endocrine cells
2613-0,Schwann cells,Schwann cells
2639-0,T cells,Lymphocytes
2640-0,Classical_KRT7,Classical PDAC
2648-0,Ductal cells,Ductal cells
2655-0,Ductal cells,Ductal cells
2670-0,Classical_TFF1,Classical PDAC
2674-0,myCAF_POSTN,Fibroblasts
2683-0,iCAF,Fibroblasts
2688-0,T cells,Lymphocytes
2711-0,Ductal cells,Ductal cells
2747-0,iCAF,Fibroblasts
2756-0,Endothelial cells,Endothelial cells
2758-0,Beta cells,Endocrine cells
2777-0,Schwann cells,Schwann cells
2828-0,Ductal cells,Ductal cells
2831-0,Delta cells,Endocrine cells
2832-0,B cells,Lymphocytes
2841-0,Endothelial cells,Endothelial cells
2856-0,Classical_TFF1,Classical PDAC
2859-0,Schwann cells,Schwann cells
2867-0,Alpha cells,Endocrine cells
2878-0,Beta cells,Endocrine cells
2913-0,Ductal cells,Ductal cells
2914-0,Acinar cells,Acinar cells
2915-0,T cells,Lymphocytes
2943-0,Classical_KRT7,Classical PDAC
2949-0,myCAF_POSTN,Fibroblasts
2968-0,Ductal cells,Ductal cells
2973-0,Classical_CEACAM,Classical PDAC
2978-0,Ductal cells,Ductal cells
2998-0,T cells,Lymphocytes
2999-0,Alpha cells,Endocrine cells
3004-0,Classical_TFF1,Classical PDAC
3019-0,T cells,Lymphocytes
3030-0,Beta cells,Endocrine cells
3042-0,T cells,Lymphocytes
3046-0,Acinar cells,Acinar cells
3052-0,Alpha cells,Endocrine cells
3074-0,Ductal cells,Ductal cells
3080-0,Schwann cells,Schwann cells
3085-0,Alpha cells,Endocrine cells
3091-0,Ductal cells,Ductal cells
3098-0,Ductal cells,Ductal cells
3109-0,Endothelial cells,Endothelial cells
3112-0,B cells,Lymphocytes
3114-0,Classical_CEACAM,Classical PDAC
3116-0,Schwann cells,Schwann cells
3118-0,T cells,Lymphocytes
3126-0,Beta cells,Endocrine cells
3127-0,Ductal cells,Ductal cells
3144-0,Ductal cells,Ductal cells
3153-0,Basal,Basal-like PDAC
3169-0,Alpha cells,Endocrine cells
3182-0,Classical_CEACAM,Classical PDAC
3187-0,Classical_TFF1,Classical PDAC
3188-0,Schwann cells,Schwann cells
3192-0,B cells,Lymphocytes
3197-0,Beta cells,Endocrine cells
3219-0,Classical_TFF1,Classical PDAC
3222-0,Ductal cells,Ductal cells
3225-0,myCAF_POSTN,Fibroblasts
3230-0,Acinar cells,Acinar cells
3231-0,Ductal cells,Ductal cells
3233-0,Ductal cells,Ductal cells
3234-0,Ductal cells,Ductal cells
3241-0,myCAF_POSTN,Fibroblasts
3256-0,Schwann cells,Schwann cells
3257-0,Classical_KRT7,Classical PDAC
3261-0,Endothelial cells,Endothelial cells
3265-0,Classical_TFF1,Classical PDAC
3297-0,Delta cells,Endocrine cells
3308-0,Classical_CEACAM,Classical PDAC
3313-0,Classical_CEACAM,Classical PDAC
3315-0,Endothelial cells,Endothelial cells
3328-0,Acinar cells,Acinar cells
3341-0,myCAF_POSTN,Fibroblasts
3342-0,Classical_TFF1,Classical PDAC
3353-0,T cells,Lymphocytes
3358-0,Beta cells,Endocrine cells
3362-0,Ductal cells,Ductal cells
3369-0,T cells,Lymphocytes
3371-0,Classical_CEACAM,Classical PDAC
3377-0,Acinar cells,Acinar cells
3383-0,Basal,Basal-like PDAC
3384-0,T cells,Lymphocytes
3386-0,Ductal cells,Ductal cells
3387-0,Ductal cells,Ductal cells
3392-0,Ductal cells,Ductal cells
3409-0,Beta cells,Endocrine cells
3410-0,Schwann cells,Schwann cells
3424-0,Ductal cells,Ductal cells
3441-0,B cells,Lymphocytes
3472-0,T cells,Lymphocytes
3473-0,Acinar cells,Acinar cells
3483-0,iCAF,Fibroblasts
3490-0,myCAF_ACTA2,Fibroblasts
3495-0,T cells,Lymphocytes
3504-0,Basal,Basal-like PDAC
3512-0,Classical_CEACAM,Classical PDAC
3514-0,Endothelial cells,Endothelial cells
3519-0,Macrophages_M1,Macrophages
3520-0,B cells,Lymphocytes
3529-0,Endothelial cells,Endothelial cells
3536-0,T cells,Lymphocytes
3542-0,Classical_TFF1,Classical PDAC
3547-0,Alpha cells,Endocrine cells
3554-0,Beta cells,Endocrine cells
3564-0,Macrophages_M1,Macrophages
3566-0,Classical_TFF1,Classical PDAC
3570-0,myCAF_ACTA2,Fibroblasts
3571-0,Beta cells,Endocrine cells
3591-0,Basal,Basal-like PDAC
3597-0,Basal,Basal-like PDAC
3609-0,Alpha cells,Endocrine cells
3610-0,Macrophages_M2,Macrophages
3625-0,Alpha cells,Endocrine cells
3636-0,Beta cells,Endocrine cells
3640-0,Acinar cells,Acinar cells
3643-0,Classical_TFF1,Classical PDAC
3663-0,Ductal cells,Ductal cells
3689-0,T cells,Lymphocytes
3704-0,Endothelial cells,Endothelial cells
3731-0,Alpha cells,Endocrine cells
3732-0,Acinar cells,Acinar cells
3736-0,Alpha cells,Endocrine cells
3772-0,Basal,Basal-like PDAC
3799-0,B cells,Lymphocytes
3829-0,Ductal cells,Ductal cells
3850-0,myCAF_ACTA2,Fibroblasts
3864-0,Macrophages_M1,Macrophages
3871-0,myCAF_POSTN,Fibroblasts
3873-0,Classical_KRT7,Classical PDAC
3880-0,Schwann cells,Schwann cells
3887-0,iCAF,Fibroblasts
3889-0,Endothelial cells,Endothelial cells
3914-0,Classical_TFF1,Classical PDAC
3931-0,Classical_CEACAM,Classical PDAC
3945-0,Ductal cells,Ductal cells
3956-0,Ductal cells,Ductal cells
3968-0,Endothelial cells,Endothelial cells
3984-0,Acinar cells,Acinar cells
4016-0,Acinar cells,Acinar cells
4024-0,Endothelial cells,Endothelial cells
4025-0,Beta cells,Endocrine cells
4027-0,Basal,Basal-like PDAC
4033-0,Classical_REG4,Classical PDAC
4038-0,Schwann cells,Schwann cells
4040-0,T cells,Lymphocytes
4043-0,myCAF_ACTA2,Fibroblasts
4052-0,Beta cells,Endocrine cells
4055-0,Schwann cells,Schwann cells
4071-0,Endothelial cells,Endothelial cells
4076-0,Classical_CEACAM,Classical PDAC
4103-0,Classical_CEACAM,Classical PDAC
4108-0,Endothelial cells,Endothelial cells
4121-0,iCAF,Fibroblasts
4131-0,Classical_KRT7,Classical PDAC
4138-0,NK cells,Lymphocytes
4143-0,Classical_TFF1,Classical PDAC
4144-0,iCAF,Fibroblasts
4156-0,T cells,Lymphocytes
4169-0,Classical_TFF1,Classical PDAC
4171-0,myCAF_ACTA2,Fibroblasts
4187-0,Classical_TFF1,Classical PDAC
4196-0,Ductal cells,Ductal cells
4198-0,Classical_KRT7,Classical PDAC
4208-0,Classical_CEACAM,Classical PDAC
4211-0,Ductal cells,Ductal cells
4247-0,B cells,Lymphocytes
4263-0,Ductal cells,Ductal cells
4313-0,B cells,Lymphocytes
4315-0,Endothelial cells,Endothelial cells
4316-0,Acinar cells,Acinar cells
4338-0,Ductal cells,Ductal cells
4348-0,myCAF_POSTN,Fibroblasts
4350-0,Classical_CEACAM,Classical PDAC
4352-0,Classical_TFF1,Classical PDAC
4356-0,myCAF_POSTN,Fibroblasts
4365-0,Macrophages_M1,Macrophages
4366-0,Beta cells,Endocrine cells
4379-0,Beta cells,Endocrine cells
4385-0,Ductal cells,Ductal cells
4388-0,Endothelial cells,Endothelial cells
4394-0,Acinar cells,Acinar cells
4413-0,Acinar cells,Acinar cells
4415-0,Alpha cells,Endocrine cells
4437-0,Classical_TFF1,Classical PDAC
4476-0,Acinar cells,Acinar cells
4490-0,Beta cells,Endocrine cells
4492-0,Delta cells,Endocrine cells
4500-0,Alpha cells,Endocrine cells
4510-0,Acinar cells,Acinar cells
4521-0,Ductal cells,Ductal cells
4533-0,Ductal cells,Ductal cells
4551-0,B cells,Lymphocytes
4561-0,Ductal cells,Ductal cells
4563-0,Endothelial cells,Endothelial cells
4574-0,Delta cells,Endocrine cells
4583-0,Macrophages_M1,Macrophages
4587-0,T cells,Lymphocytes
4591-0,Ductal cells,Ductal cells
4593-0,NK cells,Lymphocytes
4616-0,Schwann cells,Schwann cells
4617-0,Classical_REG4,Classical PDAC
4622-0,Schwann cells,Schwann cells
4628-0,Alpha cells,Endocrine cells
4648-0,Endothelial cells,Endothelial cells
4649-0,Acinar cells,Acinar cells
4668-0,Classical_TFF1,Classical PDAC
4674-0,Classical_TFF1,Classical PDAC
4682-0,Ductal cells,Ductal cells
4703-0,Endothelial cells,Endothelial cells
4707-0,Schwann cells,Schwann cells
4714-0,T cells,Lymphocytes
4720-0,Macrophages_M1,Macrophages
4722-0,Ductal cells,Ductal cells
4725-0,Acinar cells,Acinar cells
4733-0,Classical_CEACAM,Classical PDAC
4737-0,Alpha cells,Endocrine cells
4746-0,Classical_TFF1,Classical PDAC
4755-0,Schwann cells,Schwann cells
4773-0,Ductal cells,Ductal cells
4776-0,Classical_TFF1,Classical PDAC
4793-0,Classical_TFF1,Classical PDAC
4801-0,Delta cells,Endocrine cells
4816-0,T cells,Lymphocytes
4823-0,Classical_CEACAM,Classical PDAC
4831-0,Beta cells,Endocrine cells
4847-0,Ductal cells,Ductal cells
4869-0,Ductal cells,Ductal cells
4879-0,Endothelial cells,Endothelial cells
4900-0,Ductal cells,Ductal cells
4914-0,Ductal cells,Ductal cells
4918-0,NK cells,Lymphocytes
4934-0,Classical_TFF1,Classical PDAC
4935-0,Ductal cells,Ductal cells
4962-0,Classical_CEACAM,Classical PDAC
4973-0,T cells,Lymphocytes
4995-0,Schwann cells,Schwann cells
5016-0,Ductal cells,Ductal cells
5018-0,Beta cells,Endocrine cells
5032-0,Basal,Basal-like PDAC
5039-0,Delta cells,Endocrine cells
5048-0,Classical_KRT7,Classical PDAC
5074-0,Classical_CEACAM,Classical PDAC
5107-0,Classical_TFF1,Classical PDAC
5112-0,Ductal cells,Ductal cells
5121-0,Ductal cells,Ductal cells
5125-0,Delta cells,Endocrine cells
5129-0,Beta cells,Endocrine cells
5137-0,Beta cells,Endocrine cells
5147-0,Alpha cells,Endocrine cells
5164-0,Classical_CEACAM,Classical PDAC
5176-0,T cells,Lymphocytes
5183-0,Ductal cells,Ductal cells
5194-0,Schwann cells,Schwann cells
5208-0,Ductal cells,Ductal cells
5210-0,Endothelial cells,Endothelial cells
5216-0,Acinar cells,Acinar cells
5218-0,Beta cells,Endocrine cells
5233-0,Ductal cells,Ductal cells
5242-0,Beta cells,Endocrine cells
5245-0,Schwann cells,Schwann cells
5275-0,B cells,Lymphocytes
5291-0,Basal,Basal-like PDAC
5294-0,T cells,Lymphocytes
5297-0,Classical_TFF1,Classical PDAC
5304-0,Basal,Basal-like PDAC
5313-0,Basal,Basal-like PDAC
5318-0,Basal,Basal-like PDAC
5341-0,Ductal cells,Ductal cells
5350-0,T cells,Lymphocytes
5356-0,T cells,Lymphocytes
5363-0,Ductal cells,Ductal cells
5377-0,Alpha cells,Endocrine cells
5380-0,Endothelial cells,Endothelial cells
5403-0,B cells,Lymphocytes
5407-0,B cells,Lymphocytes
5408-0,Alpha cells,Endocrine cells
5411-0,Beta cells,Endocrine cells
5418-0,Schwann cells,Schwann cells
5423-0,Classical_KRT7,Classical PDAC
5435-0,myCAF_POSTN,Fibroblasts
5465-0,B cells,Lymphocytes
5486-0,Beta cells,Endocrine cells
5495-0,Beta cells,Endocrine cells
5513-0,Ductal cells,Ductal cells
5543-0,Beta cells,Endocrine cells
5547-0,Beta cells,Endocrine cells
5557-0,Classical_REG4,Classical PDAC
5559-0,Ductal cells,Ductal cells
5561-0,iCAF,Fibroblasts
5563-0,Schwann cells,Schwann cells
5564-0,Classical_KRT7,Classical PDAC
5568-0,Basal,Basal-like PDAC
5583-0,iCAF,Fibroblasts
5584-0,NK cells,Lymphocytes
5602-0,T cells,Lymphocytes
5638-0,Ductal cells,Ductal cells
5640-0,Classical_TFF1,Classical PDAC
5663-0,NK cells,Lymphocytes
5677-0,Ductal cells,Ductal cells
5685-0,Classical_CEACAM,Classical PDAC
5686-0,Ductal cells,Ductal cells
5709-0,Classical_CEACAM,Classical PDAC
5711-0,Classical_CEACAM,Classical PDAC
5724-0,Alpha cells,Endocrine cells
5726-0,Acinar cells,Acinar cells
5732-0,Classical_TFF1,Classical PDAC
5746-0,Classical_KRT7,Classical PDAC
5755-0,Acinar cells,Acinar cells
5768-0,Classical_CEACAM,Classical PDAC
5773-0,Schwann cells,Schwann cells
5781-0,Endothelial cells,Endothelial cells
5782-0,Ductal cells,Ductal cells
5792-0,Ductal cells,Ductal cells
5807-0,B cells,Lymphocytes
5842-0,T cells,Lymphocytes
5850-0,Acinar cells,Acinar cells
5857-0,Endothelial cells,Endothelial cells
5874-0,Delta cells,Endocrine cells
5878-0,B cells,Lymphocytes
5886-0,NK cells,Lymphocytes
5888-0,Basal,Basal-like PDAC
5903-0,T cells,Lymphocytes
5937-0,Ductal cells,Ductal cells
5946-0,Schwann cells,Schwann cells
5950-0,Basal,Basal-like PDAC
5975-0,Classical_TFF1,Classical PDAC
5979-0,Ductal cells,Ductal cells
6010-0,Schwann cells,Schwann cells
6031-0,Endothelial cells,Endothelial cells
6068-0,Macrophages_M1,Macrophages
6072-0,Schwann cells,Schwann cells
6098-0,Acinar cells,Acinar cells
6108-0,Basal,Basal-like PDAC
6123-0,Classical_KRT7,Classical PDAC
6129-0,Classical_CEACAM,Classical PDAC
6145-0,Classical_CEACAM,Classical PDAC
6149-0,Classical_TFF1,Classical PDAC
6153-0,B cells,Lymphocytes
6162-0,Endothelial cells,Endothelial cells
6165-0,Beta cells,Endocrine cells
6171-0,Schwann cells,Schwann cells
6196-0,Classical_TFF1,Classical PDAC
6207-0,Classical_KRT7,Classical PDAC
6227-0,Endothelial cells,Endothelial cells
6232-0,Ductal cells,Ductal cells
6239-0,Classical_KRT7,Classical PDAC
6243-0,Classical_KRT7,Classical PDAC
6245-0,Classical_TFF1,Classical PDAC
6254-0,Classical_TFF1,Classical PDAC
6256-0,Classical_TFF1,Classical PDAC
6265-0,Endothelial cells,Endothelial cells
6308-0,Classical_TFF1,Classical PDAC
6317-0,myCAF_ACTA2,Fibroblasts
6323-0,Ductal cells,Ductal cells
6330-0,Basal,Basal-like PDAC
6341-0,myCAF_POSTN,Fibroblasts
6371-0,Classical_CEACAM,Classical PDAC
6398-0,iCAF,Fibroblasts
6399-0,B cells,Lymphocytes
6411-0,B cells,Lymphocytes
6424-0,T cells,Lymphocytes
6443-0,Beta cells,Endocrine cells
6446-0,Alpha cells,Endocrine cells
6449-0,Acinar cells,Acinar cells
6457-0,myCAF_POSTN,Fibroblasts
6458-0,Acinar cells,Acinar cells
6467-0,Classical_KRT7,Classical PDAC
6484-0,Classical_TFF1,Classical PDAC
6489-0,Acinar cells,Acinar cells
6491-0,Delta cells,Endocrine cells
6543-0,Endothelial cells,Endothelial cells
6548-0,Classical_CEACAM,Classical PDAC
6565-0,Classical_TFF1,Classical PDAC
6594-0,Alpha cells,Endocrine cells
6601-0,Classical_KRT7,Classical PDAC
6604-0,Classical_KRT7,Classical PDAC
6609-0,Basal,Basal-like PDAC
6621-0,Ductal cells,Ductal cells
6640-0,B cells,Lymphocytes
6649-0,Schwann cells,Schwann cells
6675-0,Ductal cells,Ductal cells
6687-0,iCAF,Fibroblasts
6697-0,Basal,Basal-like PDAC
6699-0,Macrophages_M2,Macrophages
6701-0,Schwann cells,Schwann cells
6716-0,Ductal cells,Ductal cells
6736-0,Ductal cells,Ductal cells
6743-0,Alpha cells,Endocrine cells
6747-0,Alpha cells,Endocrine cells
6775-0,Acinar cells,Acinar cells
6793-0,Basal,Basal-like PDAC
6806-0,Endothelial cells,Endothelial cells
6816-0,Classical_TFF1,Classical PDAC
6817-0,Schwann cells,Schwann cells
6837-0,Schwann cells,Schwann cells
6845-0,Classical_CEACAM,Classical PDAC
6858-0,Ductal cells,Ductal cells
6864-0,Classical_TFF1,Classical PDAC
6868-0,B cells,Lymphocytes
6872-0,Schwann cells,Schwann cells
6877-0,Classical_KRT7,Classical PDAC
6894-0,Ductal cells,Ductal cells
6903-0,T cells,Lymphocytes
6940-0,Ductal cells,Ductal cells
6952-0,Ductal cells,Ductal cells
6959-0,Alpha cells,Endocrine cells
6966-0,T cells,Lymphocytes
6971-0,Ductal cells,Ductal cells
6976-0,Classical_TFF1,Classical PDAC
7013-0,Ductal cells,Ductal cells
7014-0,Macrophages_M2,Macrophages
7036-0,myCAF_ACTA2,Fibroblasts
7041-0,Acinar cells,Acinar cells
7048-0,Alpha cells,Endocrine cells
7049-0,Endothelial cells,Endothelial cells
7052-0,Endothelial cells,Endothelial cells
7069-0,Acinar cells,Acinar cells
7082-0,Endothelial cells,Endothelial cells
7101-0,Alpha cells,Endocrine cells
7108-0,myCAF_POSTN,Fibroblasts
7121-0,Beta cells,Endocrine cells
7127-0,Schwann cells,Schwann cells
7145-0,T cells,Lymphocytes
7182-0,Ductal cells,Ductal cells
7183-0,Endothelial cells,Endothelial cells
7187-0,Endothelial cells,Endothelial cells
7188-0,Classical_CEACAM,Classical PDAC
7223-0,Macrophages_M1,Macrophages
