,celltypes_fine,celltypes_coarse
115232-3,Classical_CEACAM,Classical PDAC
115244-3,Beta cells,Endocrine cells
115245-3,Ductal cells,Ductal cells
115255-3,Classical_TFF1,Classical PDAC
115264-3,Classical_CEACAM,Classical PDAC
115281-3,Classical_TFF1,Classical PDAC
115287-3,Dendritic cells,Dendritic cells
115293-3,Classical_CEACAM,Classical PDAC
115297-3,Classical_CEACAM,Classical PDAC
115342-3,Macrophages_M1,Macrophages
115358-3,Dendritic cells,Dendritic cells
115379-3,myCAF_POSTN,Fibroblasts
115380-3,myCAF_ACTA2,Fibroblasts
115387-3,Endothelial cells,Endothelial cells
115388-3,Acinar cells,Acinar cells
115392-3,Macrophages_M2,Macrophages
115409-3,Endothelial cells,Endothelial cells
115413-3,Classical_CEACAM,Classical PDAC
115419-3,Classical_CEACAM,Classical PDAC
115423-3,Classical_CEACAM,Classical PDAC
115425-3,Classical_KRT7,Classical PDAC
115436-3,Acinar cells,Acinar cells
115447-3,Classical_CEACAM,Classical PDAC
115455-3,Classical_TFF1,Classical PDAC
115463-3,myCAF_POSTN,Fibroblasts
115465-3,Classical_CEACAM,Classical PDAC
115470-3,Classical_CEACAM,Classical PDAC
115472-3,Classical_CEACAM,Classical PDAC
115476-3,myCAF_ACTA2,Fibroblasts
115493-3,Classical_TFF1,Classical PDAC
115498-3,Schwann cells,Schwann cells
115500-3,Classical_CEACAM,Classical PDAC
115501-3,Classical_TFF1,Classical PDAC
115513-3,Ductal cells,Ductal cells
115525-3,Schwann cells,Schwann cells
115529-3,myCAF_POSTN,Fibroblasts
115530-3,Classical_CEACAM,Classical PDAC
115549-3,myCAF_ACTA2,Fibroblasts
115558-3,Beta cells,Endocrine cells
115559-3,Classical_KRT7,Classical PDAC
115561-3,iCAF,Fibroblasts
115572-3,Beta cells,Endocrine cells
115581-3,Macrophages_M1,Macrophages
115596-3,Classical_TFF1,Classical PDAC
115604-3,Ductal cells,Ductal cells
115610-3,Beta cells,Endocrine cells
115621-3,Ductal cells,Ductal cells
115625-3,T cells,Lymphocytes
115629-3,Classical_KRT7,Classical PDAC
115642-3,Beta cells,Endocrine cells
115647-3,Classical_CEACAM,Classical PDAC
115671-3,Ductal cells,Ductal cells
115676-3,Endothelial cells,Endothelial cells
115698-3,NK cells,Lymphocytes
115708-3,Classical_CEACAM,Classical PDAC
115729-3,Acinar cells,Acinar cells
115731-3,Schwann cells,Schwann cells
115735-3,Classical_CEACAM,Classical PDAC
115742-3,Basal,Basal-like PDAC
115746-3,B cells,Lymphocytes
115747-3,Classical_CEACAM,Classical PDAC
115752-3,Basal,Basal-like PDAC
115755-3,myCAF_ACTA2,Fibroblasts
115757-3,Schwann cells,Schwann cells
115767-3,T cells,Lymphocytes
115774-3,Macrophages_M2,Macrophages
115783-3,myCAF_ACTA2,Fibroblasts
115793-3,Classical_CEACAM,Classical PDAC
115796-3,B cells,Lymphocytes
115801-3,Macrophages_M2,Macrophages
115802-3,iCAF,Fibroblasts
115812-3,Schwann cells,Schwann cells
115816-3,myCAF_ACTA2,Fibroblasts
115827-3,Classical_CEACAM,Classical PDAC
115859-3,Classical_KRT7,Classical PDAC
115867-3,Macrophages_M2,Macrophages
115870-3,Ductal cells,Ductal cells
115873-3,Endothelial cells,Endothelial cells
115889-3,Beta cells,Endocrine cells
115898-3,myCAF_ACTA2,Fibroblasts
115902-3,Classical_KRT7,Classical PDAC
